xnm,ynm,frame,locprecnm,phot,bg,LLrel,PSFxnm,numberInGroup,sitenumbers,layer
37312.25,56473.53,2,4.411664,3213.864,173.42113494873,-0.7485061,105.3322,2,0,1
37381.5,54876.28,2,4.357363,5534.38,303.786323547363,-0.6178548,128.1787,4,452,1
37816.39,53026.17,2,2.939682,7608.385,320.368392944336,-0.8984993,114.1861,4,334,1
37906.88,53690.55,2,9.773289,1426.177,80.1404876708984,-0.8551766,138.182,1,459,1
26150.67,45878.16,3,8.343269,1260.586,62.0172424316406,-0.5409635,121.4759,1,0,1
26245.79,43089.67,3,9.65543,1164.386,58.1413612365723,-0.6722999,130.7321,1,0,1
28868.04,51385.57,3,4.113678,4574.791,141.765853881836,-0.7615649,126.223,2,0,1
30050.68,59834.14,3,15.84226,755.6615,68.9260330200195,-0.5212734,139.4312,1,0,1
30262.49,44723.79,3,4.446241,3516.335,133.31517791748,-0.7798531,116.7687,2,0,1
30359.03,48408.14,3,13.59278,848.0974,66.6602325439453,-0.894888,135.2802,1,36,1
30617.89,43696.82,3,10.2626,1222.284,70.5500030517578,-0.6968963,134.8452,1,0,1
30638.5,54779.48,3,5.406362,2928.608,129.52059173584,-0.7208847,128.6361,2,111,1
31231.82,50424.25,3,7.096333,1786.344,81.3628005981445,-0.6991944,124.2939,1,0,1
31501.09,55004.49,3,17.99729,600.5378,76.2166290283203,-0.6546555,130.7081,1,0,1
31911.41,49748.05,3,6.310652,1880.253,85.814453125,-0.7825622,116.1878,1,69,1
31982.61,51809.73,3,6.410279,1979.619,131.225284576416,-0.6448148,111.1122,2,70,1
32039.3,47619.66,3,4.046122,3960.927,78.9071578979492,-0.7715119,125.5182,1,8,1
32229.22,55703.53,3,16.40767,787.254,68.9270782470703,-0.489657,145.7012,1,0,1
32505.5,54812.57,3,8.55237,2171.615,141.262321472168,-0.6441848,142.3931,2,0,1
32860.91,44977.88,3,13.92385,577.2089,71.9948120117188,-0.8536696,109.5903,1,0,1
33183.34,52271.49,3,6.976617,1996.423,140.993118286133,-0.6163155,118.2713,2,214,1
34462.15,52910,3,9.322453,2173.046,155.853492736816,-0.7501943,149.948,2,243,1
34935.61,42880.5,3,6.208434,1779.948,84.1678771972656,-0.5388107,111.7117,1,0,1
35033.34,50260.27,3,7.780561,1528.224,105.348960876465,-0.5870291,116.1082,1,257,1
35318.63,45620.02,3,2.154178,15654.8,466.312088012695,-0.7669793,124.0971,8,0,1
35723.14,42889.37,3,3.671206,6781.514,342.845264434814,-0.5563759,123.3003,6,0,1
36623.48,52956.26,3,11.06547,663.2186,86.0564193725586,-0.8443023,97.23499,1,300,1
37851.15,51454.34,3,4.755909,5654.146,431.398014068604,-0.8270755,128.7467,7,332,1
38818.61,50726.98,3,3.035632,6739.374,165.967063903809,-0.88775,119.9584,2,516,1
39386.54,53424.96,3,12.35614,1171.184,74.4059448242188,-0.6145169,147.5845,1,0,1
26133.14,45840.1,4,4.469908,3540.96,144.325996398926,-0.6247624,118.6745,3,0,1
28776.75,49944.4,4,7.411332,1732.703,61.7236366271973,-0.6725907,132.5765,1,0,1
30318.46,57449.84,4,10.80978,846.7125,63.3505401611328,-0.7526179,116.9587,1,105,1
31785.99,57623.89,4,2.346436,14769.65,405.793785095215,-0.6590292,131.1183,7,0,1
31914.94,46290.64,4,6.719813,1962.102,124.410163879395,-0.5863171,116.0238,2,0,1
32381.56,56540.63,4,2.991494,6193.962,237.385025024414,-0.6910988,110.6552,4,150,1
32454.48,49196.26,4,3.466223,7222.495,348.286930084229,-0.6620041,123.2621,5,82,1
32693.12,45833.82,4,6.716226,1736.165,63.7166290283203,-0.6241921,122.7245,1,0,1
32740.52,46958.1,4,3.161269,5221.959,195.498840332031,-0.8536344,104.5828,3,13,1
33234.22,58871.48,4,7.757406,1725.805,62.4057006835938,-0.744643,136.4626,1,0,1
34031.14,56744.71,4,4.62643,3700.108,229.572364807129,-0.6055048,114.6326,4,364,1
34246.8,41739.83,4,8.469645,1106.133,58.3104133605957,-0.5604108,115.6526,1,0,1
36242.27,52573.62,4,22.67587,516.9385,72.575569152832,-0.6655616,140.6783,1,293,1
36956.47,49605.85,4,6.994787,2343.25,88.877799987793,-0.4585263,140.1707,1,309,1
38388,56926.27,4,13.0851,950.6992,69.1369094848633,-0.7561178,139.2173,1,0,1
38598.45,54669.11,4,3.060964,6193.616,181.771209716797,-0.7915205,113.6251,3,0,1
39616.08,49445,4,19.12981,642.3367,63.7387161254883,-0.5600836,146.4735,1,0,1
39830.25,51751.23,4,23.07143,525.9272,65.7377777099609,-0.4406732,146.7434,1,0,1
26754.76,48588.2,5,16.04561,533.4553,51.1301231384277,-0.6532928,124.2182,1,0,1
27910.37,45351.75,5,2.809948,7149.232,222.107398986816,-0.7913455,111.1629,4,0,1
28146.91,46554.34,5,9.185308,1057.518,104.839515686035,-0.6558528,106.9391,2,0,1
29876.62,40288.17,5,22.28253,324.6089,47.6804656982422,-0.5399035,119.1095,1,0,1
30069.49,48354.16,5,5.753458,3147.729,117.89168548584,-0.7008154,135.6528,2,0,1
30491.98,39234.32,5,17.49808,588.4087,94.04443359375,-0.6645228,120.6964,2,0,1
30504.27,54353.2,5,15.22753,583.5968,57.7063522338867,-0.5689166,122.7957,1,109,1
31049.73,44606.97,5,16.39655,422.0211,53.2509536743164,-0.5969377,109.7281,1,0,1
31256.39,47306.68,5,4.848103,3086.35,121.822483062744,-0.8126814,117.827,2,5,1
31311.25,50451.11,5,8.905134,1100.314,62.6541633605957,-0.6727425,118.0005,1,0,1
32089.76,42812.7,5,8.810518,1580.004,114.662616729736,-0.5891255,127.3108,2,0,1
33139.96,42019.51,5,2.7858,11440.66,621.720985412598,-0.6669666,120.3648,13,0,1
33210.43,52757.51,5,17.78132,343.503,66.9587860107422,-0.639348,97.81724,1,215,1
33296.81,46018.54,5,4.778078,3573.137,173.302612304688,-0.5739521,120.892,3,0,1
33452.49,47362.07,5,11.46057,1495.519,120.692924499512,-0.8444503,147.5317,2,172,1
34819.57,49446.89,5,6.435977,3768.191,224.39884185791,-0.7656108,147.5808,4,254,1
35031.69,58818.32,5,12.31274,936.9055,59.4304962158203,-0.6420649,136.8248,1,482,1
35652.05,46808.47,5,13.74577,880.9152,72.300163269043,-0.5622319,136.7326,1,191,1
35969.07,49238.34,5,8.070369,1443.211,76.8919982910156,-0.6700514,122.7134,1,280,1
36900.93,49606.71,5,3.516693,4886.492,148.452598571777,-0.6947021,117.0258,2,309,1
38602.3,50085.3,5,14.17937,662.1419,67.1482849121094,-0.7522126,121.4659,1,511,1
38839.93,50741.1,5,5.818031,4689.76,276.555534362793,-0.6052749,148.1292,5,516,1
25623.61,53206.67,6,6.978626,1812.999,55.3557624816895,-0.8913019,132.3835,1,0,1
26144.47,45895.36,6,5.908422,2053.097,51.3710975646973,-0.666165,126.247,1,0,1
27803.06,43791.08,6,3.2253,3950.222,54.6522941589355,-0.8471543,108.5094,1,0,1
28855.85,57154.74,6,5.142424,1921.74,54.3498649597168,-0.6870012,107.9845,1,0,1
29170.33,55937.95,6,2.560634,11569.57,406.377277374268,-0.6391866,123.7874,8,0,1
29644.53,41307.88,6,23.2522,280.8114,57.3978042602539,-0.7325144,108.1391,1,0,1
29960.98,42122.92,6,9.263971,1112.148,50.2197189331055,-0.6147738,127.2186,1,0,1
31279.29,50506.48,6,6.519952,2133.328,107.9494972229,-0.5376993,122.5815,2,0,1
32686.19,45067.98,6,8.001706,1729.812,59.8446388244629,-0.7965207,140.7417,1,0,1
33206.61,52804.08,6,4.604308,2939.911,114.697998046875,-0.6374164,114.7202,2,215,1
34333.44,51093.82,6,7.134185,2045.893,118.994594573975,-0.7203788,126.2188,2,239,1
34783.11,58468.73,6,7.01031,1481.932,65.4497222900391,-0.6778368,115.648,1,479,1
34795.84,49415.8,6,23.65053,342.4389,53.341236114502,-0.4678082,124.1743,1,254,1
35073.67,57303.05,6,8.591893,1084.777,57.8994483947754,-0.3667324,115.7436,1,393,1
37030.74,46325.56,6,3.761795,4469.592,134.965438842773,-0.7754285,117.3711,2,201,1
37569.75,52355.75,6,5.938906,2468.204,109.919662475586,-0.7313044,123.569,2,326,1
38217.21,50814.59,6,6.503631,2153.683,120.537784576416,-0.6828924,124.1172,2,501,1
38618.66,53211.21,6,4.625415,4569.982,212.357269287109,-0.6405773,127.8712,4,507,1
38957.8,43733.8,6,18.85415,260.7715,56.1361351013184,-0.7140999,90.62678,1,0,1
39850.45,51797.55,6,17.15434,562.6253,53.1745529174805,-0.6783828,132.4575,1,0,1
26010.97,42767.07,7,24.75162,334.192,43.0627059936523,-0.6603355,132.3742,1,0,1
26598.25,55437.77,7,7.695529,1869.795,103.883380889893,-0.7230203,128.2925,2,0,1
27251.88,49507.97,7,4.430751,4722.888,163.996990203857,-0.6539584,132.251,3,0,1
28439.09,48494.37,7,5.465813,2982.119,107.251575469971,-0.8016552,132.4783,2,0,1
28614.7,47303.46,7,7.751971,1304.271,55.4033126831055,-0.497019,119.7232,1,0,1
29214.74,47909.22,7,3.703218,6837.272,258.210025787354,-0.7590918,130.5243,5,0,1
29467.68,58135.49,7,18.85826,535.2058,48.610538482666,-0.5410008,139.7225,1,0,1
29882.48,57310.62,7,6.994008,1794.699,106.515468597412,-0.6652514,122.9476,2,95,1
30059.48,59837.51,7,3.80713,5507.85,205.141990661621,-0.6471717,124.5427,4,0,1
30146.01,54320.5,7,2.285748,11752.13,323.698936462402,-0.7560167,118.0896,6,101,1
30580.06,43726.63,7,10.83236,987.6941,55.9212112426758,-0.4342809,130.5697,1,0,1
31661.02,55238.99,7,2.51229,8566.937,268.882320404053,-0.7558749,111.9262,5,0,1
32158.1,58595.47,7,7.566732,2105.582,108.731494903564,-0.6601781,137.9561,2,163,1
33180.12,41253.51,7,12.50879,635.5071,52.5110206604004,-0.6773211,114.8361,1,0,1
33311.67,57366.99,7,9.494512,1000.68,95.1249656677246,-0.622852,107.3411,2,347,1
36204.78,59015.24,7,15.88266,1011.748,108.807312011719,-0.5643647,147.7081,2,0,1
36475.4,57254.95,7,9.72758,824.3256,55.2171096801758,-0.8796302,109.838,1,428,1
38892.57,54462.78,7,3.103007,9521.326,386.192333221436,-0.7038246,128.2834,7,0,1
40529.39,58893.84,7,19.16833,355.3937,43.1679153442383,-0.7085705,116.0584,1,0,1
23915.26,45220.82,8,3.890606,3841.311,114.201171875,-0.5277357,118.1053,3,0,1
26437.38,42148.04,8,16.6881,363.3177,43.0169143676758,-0.6582128,107.1651,1,0,1
26748.6,43619.17,8,12.86542,939.8119,75.4620895385742,-0.5548835,132.9008,2,0,1
28299.75,41377.74,8,2.534,9329.773,224.56901550293,-0.7922536,118.8246,5,0,1
28629.15,47242.68,8,12.60294,804.3696,50.0876884460449,-0.6300248,132.5066,1,0,1
29303.76,53187.63,8,4.292209,4179.207,190.580486297607,-0.715053,120.5036,4,0,1
30125.1,43091.51,8,13.22123,935.8597,53.6445999145508,-0.8067958,146.3459,1,0,1
30510.8,49976.34,8,22.77218,367.114,43.3342247009277,-0.4374315,131.9345,1,41,1
31071.44,45031.39,8,7.769068,1446.701,52.3597450256348,-0.853889,128.1181,1,0,1
32645.57,45855.03,8,7.361139,1152.035,52.357250213623,-0.8768926,108.5088,1,0,1
33234.68,58874.1,8,4.33942,6234.516,205.106914520264,-0.7662908,143.4999,4,0,1
33840.26,51503.05,8,19.02246,309.7942,54.7068977355957,-0.8198255,101.1486,1,0,1
35047.49,48240.3,8,8.746895,764.3048,54.1453132629395,-0.4219996,97.79491,1,186,1
35626.85,55265.38,8,4.075905,4785.896,217.074073791504,-0.7841638,121.0805,3,0,1
36188.7,49223.57,8,2.997455,7799.261,218.747848510742,-0.8891534,123.2358,3,289,1
37090.09,51788.36,8,7.021429,1545.912,111.90306854248,-0.7810388,109.4548,2,313,1
37438.15,57191.76,8,19.42998,373.3977,52.5539932250977,-0.5701923,115.1441,1,453,1
39817.3,51761.37,8,10.48482,1069.232,93.1809539794922,-0.6823896,120.1588,2,0,1
23738.89,52549.63,9,18.04742,525.8893,42.9110832214355,-0.6655765,137.8477,1,0,1
27472.48,50295.86,9,18.54326,317.1237,50.411434173584,-0.5947686,102.9068,1,0,1
28018.04,50876.56,9,17.8749,400.165,45.1573028564453,-0.809971,117.0661,1,0,1
28080.47,42251.83,9,9.258336,1093.425,42.1704902648926,-0.5222558,130.0119,1,0,1
31007.46,57310.03,9,4.692979,3984.855,202.898544311523,-0.8123468,126.2523,4,123,1
31324.67,50449.83,9,5.716649,2871.463,143.498058319092,-0.65499,124.1948,3,0,1
31349.79,40874.29,9,2.562891,12008.78,389.844882965088,-0.7854712,124.5847,9,0,1
31913.13,46277.25,9,5.498697,3164.508,144.001308441162,-0.7040964,127.805,3,0,1
32291.95,44053.01,9,4.578218,4345.8,151.265560150146,-0.7224813,133.2469,3,0,1
32457.45,56816.54,9,4.540588,3082.58,94.7886505126953,-0.616525,116.5726,2,151,1
32893.57,50532.91,9,6.916085,1607.533,51.9121322631836,-0.4262112,124.4846,1,0,1
33044.06,57743.42,9,6.939876,1466.495,104.048198699951,-0.668412,105.5026,2,0,1
33793.21,51495.03,9,4.374815,3027.984,57.5701522827148,-0.764075,120.7215,1,0,1
34041.58,50118.45,9,9.329288,1182.321,56.5085639953613,-0.6871727,129.3284,1,0,1
34206.63,46967.37,9,8.245269,1221.058,48.7395896911621,-0.768274,123.6092,1,0,1
34356.21,59143.67,9,5.540941,2415.683,53.7907867431641,-0.6940536,130.2106,1,475,1
35228.11,51443.42,9,5.252447,2758.044,110.251937866211,-0.6142021,125.7138,2,264,1
35823.87,43490.32,9,8.33075,1339.954,93.9422912597656,-0.7325631,120.4712,2,0,1
35824.97,58567.95,9,3.878563,3662.477,106.094066619873,-0.385503,111.6197,2,488,1
36989.88,49607,9,8.888501,1802.863,128.89236831665,-0.7392351,135.4079,2,309,1
37170.96,47258.12,9,3.77698,6784.609,328.27515411377,-0.8198003,127.1606,6,0,1
37296.05,46396.09,9,9.454131,1043.875,104.446430206299,-0.6299133,109.0497,2,204,1
37692.1,52151.79,9,7.708528,1226.946,54.1585426330566,-0.6229996,115.7169,1,329,1
37749.57,50784.18,9,5.088005,2646.582,108.021228790283,-0.6304932,114.911,2,331,1
26243,43077.33,10,2.555834,12907.42,348.90852355957,-0.7338696,133.9706,9,0,1
27432.62,50313.52,10,6.140393,1664.235,52.1548881530762,-0.6274495,115.643,1,0,1
31219.02,44088.19,10,16.48,457.2875,43.9544563293457,-0.597402,120.0555,1,0,1
32515.68,54831.02,10,23.4826,353.8719,49.4396362304688,-0.492042,128.0302,1,0,1
33409.54,44019.79,10,10.10418,1566.372,93.1313896179199,-0.6462406,140.0956,2,0,1
33678.5,49193.11,10,2.372973,11495.45,389.577533721924,-0.7171118,116.3173,8,222,1
33746.03,51439.56,10,19.95179,278.1494,49.3995094299316,-0.5112859,100.8485,1,0,1
34692.86,48286.87,10,4.46787,5750.818,236.889713287354,-0.6264226,138.939,5,249,1
35065.62,57281.94,10,6.219242,1595.984,54.7846908569336,-0.6149859,113.218,1,393,1
36013.49,46497.45,10,3.140511,5930.081,212.259586334229,-0.8779085,110.4903,4,193,1
36973.79,50801.44,10,2.833053,9766.49,291.648670196533,-0.6289476,128.2252,6,312,1
37078.57,43946.04,10,4.978889,2444.654,90.6626663208008,-0.4752268,111.3069,2,0,1
37839.09,53141.5,10,6.974853,1441.311,47.2828521728516,-0.6206054,119.9094,1,334,1
38995.96,43669.29,10,24.39597,236.379,45.7062072753906,-0.6872824,107.0592,1,0,1
28796.39,56797.38,11,2.514147,9247.504,287.785587310791,-0.7310189,115.0223,6,0,1
29623.91,50908.43,11,22.56065,248.7121,46.2294921875,-0.474175,104.3163,1,0,1
30751.4,52184.92,11,12.11786,605.4747,53.8230209350586,-0.8777248,108.8483,1,0,1
33059.29,55433.9,11,2.658051,10979.99,270.668571472168,-0.7374887,131.1229,6,0,1
33151.46,41228.14,11,5.370059,2689.273,89.1546211242676,-0.6473615,125.6593,2,0,1
33815.74,50358.58,11,4.911294,2441.763,54.1788444519043,-0.7540107,118.9309,1,0,1
36184.77,48203.15,11,5.571295,2672.893,113.027729034424,-0.3646568,122.2711,2,194,1
36773.22,54184.73,11,4.042452,3753.073,109.263935089111,-0.5290569,116.2807,2,436,1
38364.14,46869.37,11,5.327202,2194.958,55.251392364502,-0.739037,119.3024,1,0,1
38864.94,52295.87,11,23.21887,234.7516,44.2903251647949,-0.7394843,103.9923,1,517,1
26017.61,48463.13,12,4.970358,3336.448,87.2404479980469,-0.6414317,135.3572,2,0,1
26370.08,53571.8,12,11.63506,934.6223,86.2575263977051,-0.7644075,120.536,2,0,1
27904.04,45347.41,12,8.586275,802.9722,42.6559257507324,-0.7351591,103.4585,1,0,1
28930.53,41385.51,12,3.081209,5879.25,178.911460876465,-0.8389277,112.304,4,0,1
29903.1,48327.25,12,20.81828,233.6737,41.3574485778809,-0.4609118,97.66285,1,0,1
31200.39,59155.58,12,5.931408,3339.804,134.504867553711,-0.4727306,140.1999,3,0,1
31269.45,47291.78,12,20.15219,176.7916,43.4300727844238,-0.6783513,80.1702,1,5,1
31812.01,43153.49,12,4.129839,6446.548,218.560680389404,-0.780945,142.6585,5,0,1
32659.3,46936.21,12,10.54135,618.8636,46.2302627563477,-0.6931185,102.6141,1,13,1
34084.55,43911.31,12,12.90536,659.2788,90.00732421875,-0.6679465,106.4332,2,0,1
35208.02,51990.38,12,4.13675,6831.937,289.467864990234,-0.6442121,138.0361,6,263,1
35281.86,41876.16,12,23.17427,273.813,54.1936302185059,-0.8357663,107.9241,1,0,1
36511.89,56747.36,12,8.94727,1810.888,98.7195930480957,-0.8423747,143.8977,2,0,1
36614.43,53029.75,12,14.59263,687.7628,53.7319946289063,-0.5973194,132.4689,1,300,1
38124.8,45558.52,12,4.264253,5546.47,223.422115325928,-0.7219229,132.7341,5,0,1
38547.19,49363.77,12,12.37885,753.757,96.508228302002,-0.6435704,111.9841,2,0,1
25625.7,53200.26,13,6.28059,2125.409,50.3310508728027,-0.6884214,135.2561,1,0,1
26015.41,54635.65,13,3.949016,3791.714,93.0900268554688,-0.757163,117.6436,2,0,1
27537.69,52560.56,13,6.955128,2062.547,95.9371337890625,-0.6356236,129.0603,2,0,1
30575.59,46380.5,13,10.07761,1399.936,87.1582908630371,-0.7380655,140.6617,2,0,1
31901.94,45230.54,13,8.550318,1175.129,84.6160926818848,-0.6764119,111.7317,2,0,1
32149.16,48511.19,13,3.846048,4586.181,188.654857635498,-0.8624622,114.4161,4,71,1
32229.98,53225.24,13,8.723063,863.7341,48.376636505127,-0.8932831,106.6318,1,0,1
32398.38,56623.09,13,2.319617,9332.324,234.985340118408,-0.7560801,111.7543,5,150,1
33375.98,50048.39,13,8.840038,1048.925,52.9159202575684,-0.8950074,117.944,1,217,1
35672.1,45776.28,13,4.624955,3815.432,95.8332023620605,-0.6154356,132.4521,2,0,1
36209.31,49229.41,13,13.23702,504.0203,52.6524772644043,-0.6926491,104.9175,1,289,1
37121.64,52551.92,13,4.606186,3404.889,102.614933013916,-0.8135318,125.0908,2,314,1
37291.01,48624.57,13,12.55603,1115.515,106.583427429199,-0.5888859,136.9946,2,318,1
37975.9,54567.86,13,5.123022,2835.641,177.244506835938,-0.8853957,110.258,4,461,1
39373.1,53476.91,13,16.49197,445.7437,47.0173645019531,-0.721595,116.7798,1,0,1
24495.76,43689.77,14,3.539512,5889.408,156.144569396973,-0.6783417,126.7699,4,0,1
26939.57,49663.58,14,10.09557,1135.113,44.1940078735352,-0.7663286,139.9772,1,0,1
27255.06,45085.72,14,21.51075,276.942,36.1514320373535,-0.5460858,113.5021,1,0,1
27804.32,43790.91,14,16.99773,381.417,35.4426765441895,-0.5192798,116.1344,1,0,1
29190.31,55898.04,14,3.802307,5972.841,146.514221191406,-0.5914731,137.5101,3,0,1
31948.6,46301.55,14,19.98156,400.8223,41.0177230834961,-0.7579532,128.7769,1,0,1
32681.27,45828.93,14,4.534214,3396,132.90043258667,-0.7029445,120.9974,3,0,1
32792.75,58847.88,14,10.81061,2009.439,248.614574432373,-0.6120161,141.2984,6,168,1
32889.44,50521.17,14,4.95276,2993.212,94.9524536132813,-0.5702352,122.4276,2,0,1
33042.32,57737.12,14,6.664272,1264.87,45.0777473449707,-0.8066716,108.5072,1,0,1
34253.46,57894.14,14,6.412205,1593.735,91.8796806335449,-0.760602,108.9415,2,366,1
35003.65,58207.2,14,16.79803,462.3049,51.3594589233398,-0.8171793,118.2678,1,0,1
35068.97,58924.17,14,3.615133,4291.67,172.949970245361,-0.7516667,108.8048,4,482,1
29855.34,52104.28,15,8.646345,1382.964,47.4890289306641,-0.6428121,137.4957,1,29,1
30061.92,59824.7,15,5.715448,2758.465,122.763500213623,-0.8418757,130.4802,3,0,1
31321.01,50456.76,15,6.819506,2060.971,122.903915405273,-0.5844749,122.4463,3,0,1
35813.36,58571.18,15,10.03461,781.8478,44.8170433044434,-0.5642249,113.5073,1,488,1
36326.27,50394.07,15,11.4794,1316.937,98.7468910217285,-0.7014642,143.1419,2,0,1
36796.96,51954.43,15,9.663851,921.2245,44.3561592102051,-0.8655414,121.0855,1,305,1
38081.39,59881.79,15,22.43318,377.6097,42.8540344238281,-0.6953784,133.015,1,0,1
38917.01,52401.16,15,10.54458,770.1038,38.6408805847168,-0.5009062,120.0231,1,0,1
39419.5,54672.28,15,5.236102,4894.332,194.198394775391,-0.822742,148.6958,4,0,1
39821.38,51760.58,15,10.33251,845.452,84.881965637207,-0.8284347,106.6989,2,0,1
25634.04,53181.86,16,15.85707,477.4653,42.2357406616211,-0.6581471,120.7831,1,0,1
25988.14,50456.97,16,8.546432,1797.386,82.4080123901367,-0.7010443,141.8616,2,0,1
28612.13,50840.88,16,5.375933,1846.157,49.3841552734375,-0.7974954,111.1768,1,0,1
29425.7,58120.33,16,22.60351,315.5717,36.0968818664551,-0.5742941,125.9801,1,0,1
30354,48417.31,16,2.782091,10985.32,295.058609008789,-0.7478642,133.7937,7,36,1
32399.99,53530.42,16,15.60182,521.9128,38.8319473266602,-0.5509286,127.5965,1,149,1
33284.53,48581.33,16,23.51843,212.6196,44.4869728088379,-0.7886149,98.94294,1,212,1
34273.33,46335.24,16,6.711103,1471.79,80.3935737609863,-0.6591761,109.1937,2,179,1
34747.63,47741.02,16,3.164571,4676.606,103.822460174561,-0.773894,108.1465,2,185,1
35572.84,55347.71,16,9.740178,952.4771,60.4331741333008,-0.7330646,117.0148,1,0,1
35629.21,46440.69,16,2.781682,11185.91,402.322364807129,-0.7355699,128.0067,9,0,1
38501.27,49347.99,16,16.16171,529.6,92.0461769104004,-0.6919159,109.4192,2,0,1
39587.97,49503.27,16,12.03991,1013.598,44.3459510803223,-0.7362316,148.7799,1,0,1
27785.44,52847.5,17,11.60367,944.829,52.134880065918,-0.7761407,135.4945,1,0,1
27794.49,43806.97,17,18.17921,310.5759,40.5930061340332,-0.5382575,105.4273,1,0,1
29133.58,49153.63,17,5.257882,2351.18,83.0388526916504,-0.5184588,119.4758,2,17,1
29450.96,45229.13,17,16.86984,527.691,40.2210273742676,-0.7555475,134.2541,1,0,1
29490.96,58159.97,17,19.36625,415.1732,40.4548034667969,-0.6130036,128.9921,1,0,1
30143.21,54324.55,17,3.935842,4308.666,131.768981933594,-0.646365,122.3479,3,101,1
31326.98,50491.01,17,22.45475,312.6075,40.750545501709,-0.6593328,121.4625,1,0,1
31761.36,57604.99,17,7.27961,1345.033,45.9828605651855,-0.5561686,119.8482,1,0,1
33203.82,52802.33,17,1.377451,28212.46,587.545177459717,-0.8404846,116.0251,13,215,1
33308.2,57343.91,17,8.220942,1004.518,45.036808013916,-0.5461287,112.3507,1,347,1
36324.91,50358.65,17,8.146821,2606.9,233.096446990967,-0.752943,136.8837,5,0,1
37311.79,56476.99,17,3.61813,4386.606,174.46208190918,-0.6746586,109.4243,4,0,1
26650.43,49640.84,18,18.18034,503.2425,38.413703918457,-0.6034982,138.7978,1,0,1
29875.97,57318.75,18,3.283276,5756.613,147.832332611084,-0.7279688,119.1009,3,95,1
30253.94,45935.48,18,8.643225,2057.894,127.634559631348,-0.6209092,142.8545,3,0,1
32113.39,40762.55,18,4.291793,6596.642,220.72314453125,-0.5754258,147.4588,6,0,1
32238.92,39934.2,18,20.10348,197.1235,36.8268966674805,-0.6083834,88.8673,1,0,1
32270.21,42460.32,18,23.94742,275.045,40.124439239502,-0.5805636,118.4755,1,0,1
32894.72,50531.79,18,6.728666,1674.624,47.1638336181641,-0.5891137,126.6216,1,0,1
33101.56,49795.98,18,4.074899,3966.379,100.690567016602,-0.7324271,122.0385,2,0,1
33693.77,54394.14,18,16.6051,464.197,42.3063812255859,-0.767615,122.6389,1,354,1
33970.72,50315.73,18,17.74055,458.2951,45.7711219787598,-0.5448046,125.1333,1,0,1
34681.07,59147.17,18,4.879799,2225.718,82.9373359680176,-0.6641316,108.9658,2,480,1
35662,45017.04,18,5.337524,2718.119,129.959354400635,-0.6748502,119.7971,3,0,1
35692.86,54662.21,18,4.941925,2386.838,49.5980606079102,-0.685682,119.5169,1,410,1
35806.77,43497.45,18,4.780562,3077.868,86.520191192627,-0.6105875,124.9007,2,0,1
